comments,category
1 Kindly refer both images 2 When we asked for veg meal pantry men giving Matar paneer without asking to passenger and a part of meal same being charged 3 When we are asking for bill pantry is providing old bill having TIN No on it instead of GST bill 1 2,staff complain
1 Lots of mosquitoes in coach PNR : 4554528910,hygiene
1 Lots of mosquitoes in coach PNR : 4554528910,hygiene
1 Many thanks to you all.Finally i Got my Bike after 7 days.Tired of waiting but after all thanks again to you all...,appreciation
1 Missing person name Pawan kr singh age 33 yrs now working in CRPF train no 18247 rewa,security problem
1 NCRly becoming more environment friendly,appreciation
1 nfr Pay use assistant over charging for services at Guwahati Jn PF 4 in waiting hall,staff complain
1 No body came sir Only you people do twitter action No ground work,poor service
1 no foggy weather 100 visibility Even then why the trains 14005 14006 12561 12562 continuously running late what is the reason?? Hope you will look into the matter,train delay
1 no water in S3 12554 PNR 2143212826,hygiene
1 NRly fan and laptop mobile lights point is not working in coach ec14405,poor service
1 One of my friend travelling on #KeralaExp 12626 Pnr no2822969608 TTE hrrasing for not having paper ticket despite producing mobile message His no 9403318199,staff complain
1 please make punctuality of 12308 train too late s9,train delay
1 sir 12394 yesterday left CNB 17 mins late but arrived MGS 3:27 hrs late today ? Any tech fault with 12394 ? Kindly reply,train delay
1 so for nyn - ald - manoharganj . 12393 delayed from 22 mins to 1 hr 3 mins. What a controlling .. Now dis train.will reach ndls today with approx 3+ hrs late. Y congestion for these trains only not for 12417/18 or 12275/76 ? Homezone biasedness,train delay
1 Thank u for making Indian Railways saferAm touched with ur prompt actionsFeels safe,appreciation
1 Train no 12760 charminar exp coach no s10 from NELLORE unauthorized passengers are traveling in reserved compartments TTE says he is managing 6coaches and he can't evict so many passengers,security problem
1 train number 12444 is standing outside of CNB since last one hours. Others train is passing away. What is management. Train is already 3 hr late.,train delay
1 train number train no 55527 kamla ganga fast passenger a ghanta se shimariya me ruka huaa hai koi other train bhi nahi ja rahi hai please solve prob,train delay
1 Train:59386 chhattisgarh expressCoach SP1Next station lalitpurCondition of sleeper coach is like general and people traveling in the coach without proper ticket causing inconvenience to all passengers with reservation PNR 6512062137,security problem
1 Train:59386 chhattisgarh expressCoach SP1Next station lalitpurCondition of sleeper coach is like general and people traveling in the coach without proper ticket causing inconvenience to all passengers with reservation PNR 6512062137,staff complain
1 Travelling in 12979 B1 Coach Seat No 17 the 2 co passengers boarded train from Surat are consuming alcohol in train itself,security problem
1 trn no 12502 express is running delayed by 5 hours Please provide batter path maintain punctuality,train delay
1 VKSingh I m trvling in ddar ajmer today crss vdodra nd saw lots of begars nd vendrs pls infrm sm1 fr pssngrs sfty,security problem
1 Water point WVM-01 at plateform no.01 of ALD station is selling water in dirty and already used bottel,hygiene
1 why commuters are allowed to cross the tracks at the north end of platform number 1 2 Mumbai central local stn? Why there is no fence? In fact this is happening just opposite of your office,poor service
1 why commuters are allowed to cross the tracks at the north end of platform number 1 2 Mumbai central local stn? Why there is no fence? In fact this is happening just opposite of your office,security problem
1. Worst & Smelled Dal in dinner,hygiene
1.48 lakhs trains ran behind schedule time till Feb. 2018 in eleven months. Sh.  ji that means approximately 450 trains run behind their schedule time every day. Facilities inside the trains even in premium one is pathetic including Pantry services.,train delay
1.5 lakh trains delayed in last 11 months,train delay
1) Floor Cleaning at regular intervals,appreciation
100 of people are there in S-1 coach without reservation,security problem
100 trains punctuality cannot be maintained at erode rly station simply becz of one major reason is shortage of platforms and trains halted at home signal on an avg of 20 min everyday,train delay
100001163783726PNR No :6311609473Train No Name :11123 BJU GWL MAILMy train was late 4 hour so I change my train then I file tdr on irtc site one day left but nor reply it's very difficult to normal person to get there own money Plz,train delay
100001173622427 is the refund ID for a ticket I booked It shows refund initiated but I have not yet received the money Please check,poor service
11027 is standing at Gangapur Stn since last 1hr....pls make it Run,train delay
11038 coach : s5 basin and pathway blocked by unreserved passenger for this kind of service we are paying reservation charges Manmad next station plz do some needful,poor service
11062 is getting very late please take concern sir,train delay
11108 Bundelkhand Express held for more than an hour at Niranjan Bridge just outside Allahabad Jn for no reason No crossing of train even platforms are empty Had to catch connecting train from ALD pls help at earliest Sue for hell Station Master of Allahabad jn,train delay
11108 is standing at allahabad since last about 1 hr There is no announcement as to when the train will depart Trainenquiry website is showing that train is departed at 23:15,train delay
11124 is running late by 6 hrs can we know why we are facing problem in train that is too much delay,train delay
11302 is running 2 hours delay! Pls help it reach destination atleast on time.,train delay
11hrs??? Mazaak hai kya sir,train delay
12 hors trane Late,train delay
12 people traveling in a compartment of 8 in Konkan Kanya S2 compartment. No TC has come to check tickets. PNR: 830023547. Please help!,security problem
12 th March 2018 Kota Jaipur Train No 12956B3 14 16Lost one blue colored Adidas backpack with 2k cash and important documents Aastha Chaturvedi 8290983373,security problem
12043 Moga Shatabdi just crossed Nangloi Station in Delhi after starting at 7 a m from NDLS Vakai Shatabdi hai Need to realign the timing and speed or change the name of train,train delay
12108 : Travelling to Mumbai from Kanpur in 2A Most third class coach with absolutely zero amenities No charging socket in side berths and the socket in main berth dont work Clogged toilets no cleaning Feeling cheated after paying hefty fares,poor service
12108 : Travelling to Mumbai from Kanpur in 2A. Most third class coach with absolutely zero amenities. No charging socket in side berths and the socket in main berth dont work. Clogged toilets,hygiene
12109 CSMT TO MANMAD in D4 Coach there's unreserved passengers and passholders blocked passway trouble for senior citizens R P F can't work,security problem
12149 got delayed by 1 30min and DRM Mughalsarai is sleeping I believe,train delay
12168 sabaramati express travelling from varanasi it is delayed starting station bsb most of the timeSo poor management from bsb jn Passengers have useless time becoz of indian railways service,train delay
